youtube_id	piece_id	gabc_file	title	playlist	score
RYHbdK_W0D4	2987	2987.gabc	Kyriale - Missa 1: Ite missa est B	Kyriale	90
ie8iD5CopKg	1280	1280.gabc	Kyriale - Missa 2: Ite missa est A	Kyriale	90
EJg5swFBnNU	804	804.gabc	Kyriale - Missa 2: Ite missa est B	Kyriale	90
mpEW-_XwGzY	2903	2903.gabc	Missa 6: Kyrie (Kyrie rex genitor)	Missa 6	60
GG_O6uL0Dfw	321	321.gabc	Missa 6: Gloria	Missa 6	60
Z7QW7IXLuHA	431	431.gabc	Missa 6: Sanctus	Missa 6	60
NveJqUDp7GM	387	387.gabc	Missa 6: Agnus Dei	Missa 6	60
GYjy8nLGxgY	1262	1262.gabc	Missa 7: Kyrie (Kyrie rex splendens)	Missa 7	60
xmy3QKxlcZc	721	721.gabc	Missa 7: Gloria	Missa 7	60
nYjhlByJkJ8	1089	1089.gabc	Missa 7: Sanctus	Missa 7	60
IfYFpvtvbbc	2985	2985.gabc	Missa 7: Agnus Dei	Missa 7	60
I4iPrf8R06c	1184	1184.gabc	Missa 8 (De angelis): Kyrie	Missa 8	60
ms46TxtstPI	961	961.gabc	Missa 8 (De angelis): Gloria	Missa 8	60
xb9NQKA2U7w	1384	1384.gabc	Missa 8 (De angelis): Sanctus	Missa 8	60
R1obGtH4dZw	2760	2760.gabc	Missa 8 (De angelis): Agnus Dei	Missa 8	60
ARXyRmBaIRI	2976	2976.gabc	Missa 9: Kyrie (Cum iubilo)	Missa 9	60
HHWv-Czle9w	2771	2771.gabc	Missa 9: Gloria	Missa 9	60
iIev5pPIbm8	587	587.gabc	Missa 9: Sanctus	Missa 9	60
6X1pe0Y43ac	707	707.gabc	Missa 9: Agnus Dei	Missa 9	60
OCV2MGOlsbk	795	795.gabc	Missa 10: Kyrie (Alme Pater)	Missa 10	60
ARSLpthcAF0	1204	1204.gabc	Missa 10: Gloria	Missa 10	60
tnu_GjGF9hU	2770	2770.gabc	Missa 10: Sanctus	Missa 10	60
hsWHnPEm7hA	2981	2981.gabc	Missa 10: Agnus Dei	Missa 10	60
eiq_V6v4UJE	2982	2982.gabc	Missa 11: Kyrie A (Orbis factor)	Missa 11	60
yxinL7Spvvg	2982	2982.gabc	Missa 11: Kyrie B (Orbis factor)	Missa 11	60
