youtube_id	piece_id	gabc_file	title	playlist	score
2U3Qsv3jThk	132	132.gabc	Introitus: Ad te levavi	Tempus Adventus	125
N8JOjPKOcks	1115	1115.gabc	Alleluia: Ostende nobis	Tempus Adventus	125
oSHD49tYU0k	7084	7084.gabc	Offertorium: Ad te, Domine, levavi	Tempus Adventus	100
-lo19FkgAmc	1036	1036.gabc	Communio: Dominus dabit benignitatem	Tempus Adventus	100
fh-s8GgB8q8	1767	1767.gabc	Introitus: Gaudete in Domino	Tempus Adventus	125
JqDsIHSN8Yw	13410	13410.gabc	Graduale: Qui sedes	Tempus Adventus	125
SXbrEohXfPw	424	424.gabc	Graduale: Fuit homo	Dominica III Adventus	125
qPo5FrGieL8	855	855.gabc	Alleluia: Excita, Domine	Tempus Adventus	125
-3YKK4Z2v7I	113	113.gabc	Offertorium: Benedixisti Domine	Tempus Adventus	125
Ie0fUpTsIks	218	218.gabc	Communio: Dicite Pusillanimes	Tempus Adventus	125
6dTkmKXE7uM	356	356.gabc	Introitus: Populus Sion	Tempus Adventus	125
pH_19oOYwQM	1268	1268.gabc	Graduale: Ex Sion species	Dominica II Adventus	125
TK3mHImSsWk	292	292.gabc	Alleluia: Laetatus sum	Tempus Adventus	125
Q5sWqJBoA8I	631	631.gabc	Offertorium: Deus, tu convertens	Feria VI Quatuor Temporum Adventus EF	125
tnxKa3LNt08	966	966.gabc	Communio: Ierusalem surge	Tempus Adventus	125
rCKL-qELw7c	367	367.gabc	Communio: Revelabitur	Tempus Nativitatis	125
M5W3Q-x3FGo	1407	1407.gabc	Introitus: Rorate coeli	Feria IV Quatuor Temporum Adventus EF	100
PpakyqyEohM	284	284.gabc	Graduale: Prope est Dominus	Feria IV Quatuor Temporum Adventus EF	125
TY-Z1DoKiDw	13662	13662.gabc	Alleluia: Veni, Domine	Dominica IV Adventus	125
vSNi49zoCLg	843	843.gabc	Offertorium: Ave Maria... et benedictus	Dominica IV Adventus	125
xQ1lWL7YMlA	4888	4888.gabc	Communio: Ecce virgo concipiet	Feria IV Quatuor Temporum Adventus EF	100
8sbmcxNMeBY	86	86.gabc	Introitus: Prope es tu Domine	Feria VI Quatuor Temporum Adventus EF	100
tAsKwEpHX0c	756	756.gabc	Graduale: Tollite portas	In Ultimis Feriis Adventu	125
TIhL-Ci1EfM	290	290.gabc	Offertorium: Confortamini	In Ultimis Feriis Adventu	125
jP8DTM1KV88	439	439.gabc	Communio: Ecce, Dominus veniet	Feria VI Quatuor Temporum Adventus EF	125
