youtube_id	piece_id	gabc_file	title	playlist	score
2U3Qsv3jThk	132	132.gabc	Introitus: Ad te levavi	Tempus Adventus	125
N8JOjPKOcks	1115	1115.gabc	Alleluia: Ostende nobis	Tempus Adventus	125
oSHD49tYU0k	7084	7084.gabc	Offertorium: Ad te, Domine, levavi	Tempus Adventus	100
-lo19FkgAmc	1036	1036.gabc	Communio: Dominus dabit benignitatem	Tempus Adventus	100
fh-s8GgB8q8	1767	1767.gabc	Introitus: Gaudete in Domino	Tempus Adventus	125
JqDsIHSN8Yw	13410	13410.gabc	Graduale: Qui sedes	Tempus Adventus	125
SXbrEohXfPw	424	424.gabc	Graduale: Fuit homo	Dominica III Adventus	125
qPo5FrGieL8	855	855.gabc	Alleluia: Excita, Domine	Tempus Adventus	125
-3YKK4Z2v7I	113	113.gabc	Offertorium: Benedixisti Domine	Tempus Adventus	125
Ie0fUpTsIks	218	218.gabc	Communio: Dicite Pusillanimes	Tempus Adventus	125
6dTkmKXE7uM	356	356.gabc	Introitus: Populus Sion	Tempus Adventus	125
pH_19oOYwQM	1268	1268.gabc	Graduale: Ex Sion species	Dominica II Adventus	125
TK3mHImSsWk	292	292.gabc	Alleluia: Laetatus sum	Tempus Adventus	125
Q5sWqJBoA8I	631	631.gabc	Offertorium: Deus, tu convertens	Feria VI Quatuor Temporum Adventus EF	125
tnxKa3LNt08	966	966.gabc	Communio: Ierusalem surge	Tempus Adventus	125
rCKL-qELw7c	367	367.gabc	Communio: Revelabitur	Tempus Nativitatis	125
M5W3Q-x3FGo	1407	1407.gabc	Introitus: Rorate coeli	Feria IV Quatuor Temporum Adventus EF	100
PpakyqyEohM	284	284.gabc	Graduale: Prope est Dominus	Feria IV Quatuor Temporum Adventus EF	125
TY-Z1DoKiDw	13662	13662.gabc	Alleluia: Veni, Domine	Dominica IV Adventus	125
vSNi49zoCLg	843	843.gabc	Offertorium: Ave Maria... et benedictus	Dominica IV Adventus	125
xQ1lWL7YMlA	4888	4888.gabc	Communio: Ecce virgo concipiet	Feria IV Quatuor Temporum Adventus EF	100
8sbmcxNMeBY	86	86.gabc	Introitus: Prope es tu Domine	Feria VI Quatuor Temporum Adventus EF	100
tAsKwEpHX0c	756	756.gabc	Graduale: Tollite portas	In Ultimis Feriis Adventu	125
TIhL-Ci1EfM	290	290.gabc	Offertorium: Confortamini	In Ultimis Feriis Adventu	125
jP8DTM1KV88	439	439.gabc	Communio: Ecce, Dominus veniet	Feria VI Quatuor Temporum Adventus EF	125
77HzmmtUCdA	169	169.gabc	Introitus: Veni et ostende nobis	Sabbato Quatuor Temporum Adventus EF	100
cq_PTRLajYY	698	698.gabc	Graduale: A summo caelo	Sabbato Quatuor Temporum Adventus EF	125
LX3d845Lty4	929	929.gabc	Offertorium: Exsulta satis	Sabbato Quatuor Temporum Adventus EF	125
E29ETDGFdfA	88	88.gabc	Communio: Exsultavit ut gigas	Sabbato Quatuor Temporum Adventus EF	125
KPtuWxJ2Gb4	165	165.gabc	Introitus: Memento nostri	In Ultimis Feriis Adventu	125
dt1G6weFjoU	203	203.gabc	Graduale: In sole posuit	Sabbato Quatuor Temporum Adventus EF	125
X-W2DJwQOpI	11387	11387.gabc	Communio: Veni Domine	In Ultimis Feriis Adventu	100
OjT1iP1Z6_8	2169	2169.gabc	Antiphona: O Sapientia	The Great Antiphons	125
eisZA7WWqnI	2596	2596.gabc	Antiphona: O Adonai	The Great Antiphons	125
hqPV5DAdm1A	2133	2133.gabc	Antiphona: O Rex gentium	The Great Antiphons	125
5fRX7YhMyG8	2877	2877.gabc	Antiphona: O Clavis David	The Great Antiphons	125
gjgloBs68mw	2371	2371.gabc	Antiphona: O Oriens	The Great Antiphons	125
pfZ_sEXd2LY	2203	2203.gabc	Antiphona: O Radix Iesse	The Great Antiphons	125
J04XVcjMBr4	2483	2483.gabc	Antiphona: O Emmanuel	The Great Antiphons	125
5DJKTeWR4Ag	17006	17006.gabc	Alma redemptoris Mater	Tempus Nativitatis	100
qThPYEVdjb0	4177	4177.gabc	Sequentia: Mittit Ad Virginem	Tempus Adventus	100
Bpo0X6YA7qg	2238	2238.gabc	Alma Redemptoris Mater (monasticum)	Tempus Nativitatis	75
_YPzioyQlAc	1201	1201.gabc	Alleluia: Qui sequitur me	Tempus Adventus	125
IEyYjP2KLCQ	38	38.gabc	Graduale: Domine Deus virtutum	Sabbato Quatuor Temporum Adventus EF	125
go-yQLQNxkw	872	872.gabc	Offertorium: Audi Israel	In Ultimis Feriis Adventu	125
NkgtpHBPTpY	506	506.gabc	Graduale: Excita Domine	Sabbato Quatuor Temporum Adventus EF	125
x1PPzFoeO-4	13489	13489.gabc	Alleluia: Ave Maria	Tempus Adventus	125
Wq343zSL5YI	4422	4422.gabc	Graduale: Ostende nobis, Domine	Feria VI Quatuor Temporum Adventus EF	100
IDTVabMJfHQ	1141	1141.gabc	Introitus: Ne timeas, Zacharia	In Ultimis Feriis Adventu	100
FCibb2HeIOA	15747	15747.gabc	Invitatorium: Prope est iam Dominus	In Ultimis Feriis Adventu	100
